route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,1,14449335,2 Macdonald/To Burrard Station,,0,2131723,300646,0,1
6612,1,14449336,2 Macdonald/To Burrard Station,,0,2135714,300645,0,1
6612,1,14449337,2 Macdonald/To Burrard Station,,0,2131720,300646,0,1
6612,1,14449338,2 Macdonald/To Burrard Station,,0,2131717,300646,0,1
6612,1,14449339,2 Macdonald/To Burrard Station,,0,2131714,300645,0,1
6612,1,14449340,2 Macdonald/To Burrard Station,,0,2135712,300646,0,1
6612,1,14449341,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449342,2 Macdonald/To Burrard Station,,0,2131718,300646,0,1
6612,1,14449343,2 Macdonald/To Burrard Station,,0,2131716,300646,0,1
6612,1,14449344,2 Macdonald/To Burrard Station,,0,2131723,300646,0,1
6612,1,14449345,2 Macdonald/To Burrard Station,,0,2135714,300646,0,1
6612,1,14449346,2 Macdonald/To Burrard Station,,0,2131720,300646,0,1
6612,1,14449347,2 Macdonald/To Burrard Station,,0,2131714,300646,0,1
6612,1,14449348,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449349,2 Macdonald/To Burrard Station,,0,2131718,300646,0,1
6612,1,14449350,2 Macdonald/To Burrard Station,,0,2131716,300646,0,1
6612,1,14449351,2 Macdonald/To Burrard Station,,0,2135714,300646,0,1
6612,1,14449352,2 Macdonald/To Burrard Station,,0,2131720,300646,0,1
6612,1,14449353,2 Macdonald/To Burrard Station,,0,2131714,300646,0,1
6612,1,14449354,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449355,2 Macdonald/To Burrard Station,,0,2131718,300646,0,1
6612,1,14449356,2 Macdonald/To Burrard Station,,0,2131716,300646,0,1
6612,1,14449357,2 Macdonald/To Burrard Station,,0,2131720,300646,0,1
6612,1,14449358,2 Macdonald/To Burrard Station,,0,2131714,300646,0,1
6612,1,14449359,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449360,2 Macdonald/To Burrard Station,,0,2131718,300646,0,1
6612,1,14449361,2 Macdonald/To Burrard Station,,0,2131716,300646,0,1
6612,1,14449362,2 Macdonald/To Burrard Station,,0,2131720,300646,0,1
6612,1,14449363,2 Macdonald/To Burrard Station,,0,2131714,300646,0,1
6612,1,14449364,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449365,2 Macdonald/To Burrard Station,,0,2131716,300646,0,1
6612,1,14449366,2 Macdonald/To Burrard Station,,0,2131714,300646,0,1
6612,1,14449367,2 Macdonald/To Burrard Station,,0,2131725,300646,0,1
6612,1,14449368,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449369,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449370,2 Macdonald/To Dunbar Loop,,1,2131722,300648,0,1
6612,1,14449371,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449372,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449373,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449374,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449375,2 Macdonald/To 16th Avenue,,1,2131719,300647,0,1
6612,1,14449376,2 Macdonald/To Dunbar Loop,,1,2131722,300648,0,1
6612,1,14449377,2 Macdonald/To 16th Avenue,,1,2131723,300647,0,1
6612,1,14449378,2 Macdonald/To Dunbar Loop,,1,2131724,300648,0,1
6612,1,14449379,2 Macdonald/To 16th Avenue,,1,2135712,300647,0,1
6612,1,14449380,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449381,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449382,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449383,2 Macdonald/To Dunbar Loop,,1,2131719,300648,0,1
6612,1,14449384,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449385,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449386,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449387,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449388,2 Macdonald/To Dunbar Loop,,1,2131724,300648,0,1
6612,1,14449389,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449390,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449391,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449392,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449393,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449394,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449395,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449396,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449397,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449398,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449399,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449400,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449401,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449402,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449403,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449404,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449405,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449406,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449407,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449408,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449409,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449410,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449411,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449412,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449413,2 Macdonald/To 16th Avenue,,1,2131725,300647,0,1
6612,1,14449414,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449415,2 Macdonald/To 16th Avenue,,1,2131718,300647,0,1
6612,1,14449416,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449417,2 Macdonald/To 16th Avenue,,1,2131722,300647,0,1
6612,1,14449418,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449419,2 Macdonald/To 16th Avenue,,1,2131723,300647,0,1
6612,1,14449420,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449421,2 Macdonald/To 16th Avenue,,1,2131717,300647,0,1
6612,1,14449422,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449423,2 Macdonald/To 16th Avenue,,1,2135712,300647,0,1
6612,1,14449424,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449425,2 Macdonald/To Dunbar Loop,,1,2131722,300648,0,1
6612,1,14449426,2 Macdonald/To 16th Avenue,,1,2131714,300647,0,1
6612,1,14449427,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449428,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449429,2 Macdonald/To 16th Avenue,,1,2131716,300647,0,1
6612,1,14449430,2 Macdonald/To Dunbar Loop,,1,2131717,300648,0,1
6612,1,14449431,2 Macdonald/To 16th Avenue,,1,2135714,300647,0,1
6612,1,14449432,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449433,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449434,2 Macdonald/To 16th Avenue,,1,2131714,300647,0,1
6612,1,14449435,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449436,2 Macdonald/To Dunbar Loop,,1,2131715,300648,0,1
6612,1,14449437,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449438,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449439,2 Macdonald/To Dunbar Loop,,1,2135714,300648,0,1
6612,1,14449440,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449441,2 Macdonald/To Dunbar Loop,,1,2131717,300648,0,1
6612,1,14449442,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,1,14449443,2 Macdonald/To Dunbar Loop,,1,2135712,300648,0,1
6612,1,14449444,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449445,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449446,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449447,2 Macdonald/To Dunbar Loop,,1,2131723,300648,0,1
6612,1,14449448,2 Macdonald/To Dunbar Loop,,1,2135714,300648,0,1
6612,1,14449449,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449450,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,1,14449451,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449452,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449453,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449454,2 Macdonald/To Dunbar Loop,,1,2135714,300648,0,1
6612,1,14449455,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449456,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,1,14449457,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449458,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449459,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449460,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449461,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,1,14449462,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449463,2 Macdonald/To Dunbar Loop,,1,2131718,300648,0,1
6612,1,14449464,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
6612,1,14449465,2 Macdonald/To Dunbar Loop,,1,2131720,300648,0,1
6612,1,14449466,2 Macdonald/To Dunbar Loop,,1,2131714,300648,0,1
6612,1,14449467,2 Macdonald/To Dunbar Loop,,1,2131725,300648,0,1
6612,1,14449468,2 Macdonald/To Dunbar Loop,,1,2131716,300648,0,1
